"#","Game","Owners before","Owners after","Sales","Increase","Price","Max discount","Userscore (Metascore)"
"348","NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst","486,290 ±21,574","493,559 ±22,074","7,269","1.49%","$29.99","75% ($7.49)","91% (80%)"
"768","Majesty 2 Collection","107,981 ±10,172","115,249 ±10,673","7,268","6.73%","$19.99","75% ($4.99)","77% (N/A)"
"1240","Ember Kaboom","16,535 ±3,981","23,773 ±4,848","7,238","43.77%","$4.99","33% ($3.34)","88% (N/A)"
"1242","Cyber City 2157: The Visual Novel","16,535 ±3,981","23,773 ±4,848","7,238","43.77%","$5.99","20% ($4.79)","64% (N/A)"
"1176","Brink of Consciousness: Dorian Gray Syndrome","24,552 ±4,851","31,784 ±5,605","7,232","29.46%","$9.99","50% ($4.99)","87% (N/A)"
"993","FINAL FANTASY VI","57,372 ±7,415","64,602 ±7,991","7,230","12.6%","$15.99","50% ($7.99)","75% (N/A)"
"795","Theatre of War 2: Africa 1943","98,460 ±9,713","105,688 ±10,221","7,228","7.34%","$8.99","75% ($2.24)","65% (63%)"
"994","Costume Quest 2","57,122 ±7,399","64,343 ±7,975","7,221","12.64%","$14.99","90% ($1.99)","86% (68%)"
"1314","Saint Seiya: Soldiers' Soul","7,766 ±2,728","14,987 ±3,849","7,221","92.98%","$49.99","66% ($16.99)","91% (N/A)"
"1251","Hyperdevotion Noire: Goddess Black Heart","15,783 ±3,889","22,998 ±4,768","7,215","45.71%","$29.99","60% ($11.99)","85% (N/A)"
"862","Lilly Looking Through","81,424 ±8,833","88,633 ±9,360","7,209","8.85%","$9.99","85% ($1.49)","79% (71%)"
"1037","Dollar Dash","48,102 ±6,790","55,299 ±7,394","7,197","14.96%","$9.99","% ($0)","N/A (N/A)"
"727","DeathSpank","122,011 ±10,812","129,204 ±11,301","7,193","5.9%","$14.99","75% ($3.74)","95% (77%)"
"950","YOU DON'T KNOW JACK Vol. 4 The Ride","64,387 ±7,855","71,579 ±8,412","7,192","11.17%","$2.99","50% ($1.49)","82% (N/A)"
"1257","Surfingers","15,032 ±3,795","22,223 ±4,687","7,191","47.84%","$1.99","75% ($0.49)","87% (N/A)"
"1139","The Golf Club","30,815 ±5,434","37,985 ±6,128","7,170","23.27%","$29.99","75% ($7.49)","63% (70%)"
"1191","Dead Synchronicity: Tomorrow Comes Today","22,297 ±4,623","29,458 ±5,397","7,161","32.12%","$19.99","70% ($5.99)","88% (70%)"
"731","Kinetic Void","120,758 ±10,757","127,911 ±11,244","7,153","5.92%","$19.99","75% ($4.99)","29% (N/A)"
"865","DreadOut","79,419 ±8,724","86,566 ±9,250","7,147","9%","$14.99","75% ($3.74)","79% (55%)"
"866","Desperados - Wanted Dead or Alive","79,169 ±8,710","86,308 ±9,237","7,139","9.02%","$4.99","75% ($1.24)","69% (78%)"
"1197","Jack Keane","21,546 ±4,544","28,683 ±5,325","7,137","33.12%","$9.99","75% ($2.49)","64% (69%)"
"580","Toy Soldiers","202,433 ±13,925","209,568 ±14,390","7,135","3.52%","$9.99","90% ($0.99)","90% (71%)"
"1009","Woodcutter Simulator 2013","54,115 ±7,201","61,242 ±7,781","7,127","13.17%","$9.99","90% ($0.99)","29% (N/A)"
"967","YOU DON'T KNOW JACK TELEVISION","61,882 ±7,701","68,994 ±8,259","7,112","11.49%","$2.99","50% ($1.49)","76% (N/A)"
"1151","Shark Attack Deathmatch 2","28,060 ±5,186","35,143 ±5,894","7,083","25.24%","$6.99","60% ($1.99)","80% (N/A)"
"877","Eaten Alive","77,165 ±8,599","84,241 ±9,125","7,076","9.17%","$0.99","51% ($0.49)","36% (N/A)"
"973","YOU DON'T KNOW JACK SPORTS","60,629 ±7,622","67,702 ±8,181","7,073","11.67%","$2.99","50% ($1.49)","53% (N/A)"
"1353","Rock 'N' Roll Defense","3,006 ±1,697","10,077 ±3,156","7,071","235.23%","$1.99","90% ($0.49)","64% (N/A)"
"841","Sherlock Holmes: The Awakened - Remastered","84,931 ±9,021","91,993 ±9,536","7,062","8.31%","$9.99","75% ($2.49)","78% (72%)"
"885","Lucid","76,413 ±8,557","83,465 ±9,083","7,052","9.23%","$4.99","0% ($4.99)","76% (N/A)"
"1302","Putt-Putt and Pep's Dog on a Stick","10,021 ±3,099","17,054 ±4,106","7,033","70.18%","$4.99","60% ($1.99)","92% (N/A)"
"1226","ADR1FT","17,788 ±4,129","24,807 ±4,952","7,019","39.46%","$19.99","50% ($9.99)","61% (63%)"
"622","Bunch Of Heroes","173,872 ±12,906","180,885 ±13,370","7,013","4.03%","$4.99","0% ($4.99)","46% (N/A)"
"1233","Ultimate Arena","17,537 ±4,100","24,548 ±4,926","7,011","39.98%","$2.99","69% ($0.61)","84% (N/A)"
"821","Inquisitor","91,445 ±9,361","98,453 ±9,865","7,008","7.66%","$9.99","66% ($3.39)","68% (64%)"
"1238","Industry Empire","17,036 ±4,041","24,031 ±4,874","6,995","41.06%","$19.99","80% ($3.99)","32% (N/A)"
"533","Lego Harry Potter","238,510 ±15,115","245,487 ±15,574","6,977","2.93%","$19.99","75% ($4.99)","77% (79%)"
"1370","Radical Spectrum: Volume 1","0 ±0","6,977 ±2,626","6,977","0%","$0.99","90% ($4.99)","55% (N/A)"
"1371","Highrise Heroes: Word Challenge","0 ±0","6,977 ±2,626","6,977","0%","$4.99","70% ($1.49)","97% (N/A)"
"185","Contagion","1,002,144 ±30,945","1,009,083 ±31,538","6,939","0.69%","$9.99","75% ($2.49)","74% (62%)"
"1318","SHOCK TROOPERS","7,015 ±2,593","13,954 ±3,714","6,939","98.92%","$7.99","0% ($7.99)","90% (N/A)"
"263","Tomb Raider I","714,278 ±26,137","721,216 ±26,675","6,938","0.97%","$6.99","75% ($1.74)","84% (N/A)"
"1039","Sakura Swim Club","48,102 ±6,790","55,040 ±7,376","6,938","14.42%","$9.99","50% ($4.99)","85% (N/A)"
"1186","Mystery P.I.: The Lottery Ticket","22,798 ±4,674","29,716 ±5,420","6,918","30.34%","$4.99","75% ($1.24)","42% (N/A)"
"913","Hook","71,903 ±8,301","78,814 ±8,827","6,911","9.61%","$0.99","10% ($0.89)","97% (N/A)"
"831","TrackMania Valley","87,437 ±9,153","94,318 ±9,656","6,881","7.87%","$19.99","50% ($9.99)","81% (N/A)"
"1104","JDM Tuner Racing","37,830 ±6,021","44,704 ±6,648","6,874","18.17%","$0.99","0% ($0.99)","52% (N/A)"
"133","Scribblenauts Unlimited","1,435,571 ±37,012","1,442,433 ±37,681","6,862","0.48%","$19.99","75% ($4.99)","92% (75%)"
"876","Might & Magic Heroes VII","77,666 ±8,627","84,499 ±9,139","6,833","8.8%","$49.99","50% ($14.99)","42% (N/A)"
"678","theHunter: Primal","143,056 ±11,707","149,876 ±12,171","6,820","4.77%","$9.99","50% ($4.99)","63% (49%)"
"985","BloodRayne 2","60,128 ±7,591","66,927 ±8,134","6,799","11.31%","$9.99","90% ($0.99)","N/A (67%)"
"1074","Hero Siege - Wrath of Mevius","43,342 ±6,445","50,131 ±7,040","6,789","15.66%","$2.99","0% ($2.99)","71% (N/A)"
"237","Supreme Commander","783,175 ±27,366","789,953 ±27,914","6,778","0.87%","$14.99","75% ($3.74)","89% (86%)"
"1169","LiEat","26,306 ±5,021","33,076 ±5,718","6,770","25.74%","$2.99","20% ($2.39)","97% (N/A)"
"1230","SPY Fox 2: Some Assembly Required","18,038 ±4,158","24,807 ±4,952","6,769","37.53%","$6.99","60% ($2.79)","93% (N/A)"
"669","Oceanhorn: Monster of Uncharted Seas","149,068 ±11,951","155,820 ±12,410","6,752","4.53%","$14.99","60% ($5.99)","87% (73%)"
"769","Indiana Jones and the Last Crusade","107,981 ±10,172","114,733 ±10,649","6,752","6.25%","$5.99","75% ($1.49)","76% (N/A)"
"507","Hacker Evolution - Untold","263,814 ±15,896","270,553 ±16,349","6,739","2.55%","$4.99","90% ($0.99)","55% (N/A)"
"1372","Sudoku Quest","0 ±0","6,718 ±2,577","6,718","0%","$5.99","15% ($5.09)","42% (N/A)"
"1130","STAR WARSâ„¢: Rogue Squadron 3D","32,820 ±5,608","39,536 ±6,252","6,716","20.46%","$9.99","50% ($4.99)","79% (N/A)"
"1180","Tower Unite","23,800 ±4,776","30,492 ±5,490","6,692","28.12%","$14.99","0% ($14.99)","81% (N/A)"
"1000","BlazBlue: Continuum Shift Extend","56,621 ±7,366","63,309 ±7,911","6,688","11.81%","$19.99","66% ($6.79)","93% (N/A)"
"1181","Chronicles of a Dark Lord: Episode 1 Tides of Fate Complete","23,550 ±4,751","30,233 ±5,467","6,683","28.38%","$1.99","75% ($0.49)","67% (N/A)"
"628","RUNNING WITH RIFLES","171,366 ±12,813","178,043 ±13,265","6,677","3.9%","$14.99","50% ($7.49)","90% (78%)"
"1325","NORTH","6,513 ±2,498","13,178 ±3,609","6,665","102.33%","$1.99","15% ($1.69)","50% (N/A)"
"1266","Serafina's Crown","13,528 ±3,601","20,155 ±4,464","6,627","48.99%","$7.99","33% ($5.35)","100% (N/A)"
"1203","iO","21,546 ±4,544","28,166 ±5,277","6,620","30.72%","$4.99","70% ($1.49)","86% (N/A)"
"377","Worms Crazy Golf","440,693 ±20,539","447,304 ±21,016","6,611","1.5%","$9.99","85% ($1.49)","85% (N/A)"
"537","Sacred 3","235,002 ±15,003","241,611 ±15,451","6,609","2.81%","$14.99","75% ($3.74)","20% (57%)"
"811","Age of Wonders: Shadow Magic","94,953 ±9,539","101,554 ±10,019","6,601","6.95%","$9.99","75% ($2.49)","86% (82%)"
"1279","Windlands","12,526 ±3,465","19,122 ±4,348","6,596","52.66%","$19.99","20% ($15.99)","81% (N/A)"
"662","The Beginner's Guide","151,824 ±12,061","158,404 ±12,512","6,580","4.33%","$9.99","40% ($5.99)","86% (N/A)"
"1286","The Floor is Jelly","12,025 ±3,395","18,605 ±4,289","6,580","54.72%","$9.99","70% ($2.99)","84% (83%)"
"1155","Trainz: Settle & Carlisle","28,310 ±5,209","34,885 ±5,873","6,575","23.23%","$19.99","75% ($4.99)","35% (N/A)"
"1216","Nyan Cat: Lost In Space","20,042 ±4,383","26,616 ±5,130","6,574","32.8%","$2.99","50% ($1.49)","94% (N/A)"
"235","Elite: Dangerous","784,679 ±27,392","791,245 ±27,937","6,566","0.84%","$29.99","33% ($20.09)","66% (80%)"
"1156","Ubersoldier II","28,060 ±5,186","34,626 ±5,851","6,566","23.4%","$9.99","90% ($0.99)","72% (62%)"
"1019","GrandiaÂ® II Anniversary Edition","52,612 ±7,101","59,175 ±7,648","6,563","12.47%","$19.99","50% ($9.99)","92% (80%)"
"1355","Cat on a Diet","3,256 ±1,766","9,819 ±3,116","6,563","201.57%","$4.99","75% ($1.24)","88% (N/A)"
"1158","Magrunner: Dark Pulse","27,809 ±5,162","34,368 ±5,829","6,559","23.59%","$9.99","75% ($2.49)","85% (N/A)"
"891","Farming Simulator 2011","75,661 ±8,515","82,173 ±9,013","6,512","8.61%","$9.99","50% ($4.99)","86% (N/A)"
"1234","Mirror Mysteries","18,038 ±4,158","24,548 ±4,926","6,510","36.09%","$4.99","85% ($0.74)","78% (N/A)"
"1367","The Deed: Dynasty","1,503 ±1,200","8,010 ±2,814","6,507","432.93%","$2.99","50% ($1.49)","89% (N/A)"
"935","Airstrike HD","67,143 ±8,021","73,646 ±8,532","6,503","9.69%","$1.99","75% ($0.49)","60% (N/A)"
"1244","DIG IT! - A Digger Simulator","16,785 ±4,011","23,256 ±4,795","6,471","38.55%","$17.99","80% ($3.59)","58% (N/A)"
"355","Men of War: Assault Squad","477,271 ±21,373","483,739 ±21,854","6,468","1.36%","$9.99","75% ($2.49)","89% (77%)"
"1374","GROOVY","0 ±0","6,460 ±2,527","6,460","0%","$7.99","50% ($3.99)","N/A (N/A)"
"1375","Rover The Dragonslayer","0 ±0","6,460 ±2,527","6,460","0%","$4.99","30% ($3.49)","66% (N/A)"
"1179","Codename: Panzers - Cold War","24,552 ±4,851","31,008 ±5,537","6,456","26.3%","$14.99","75% ($3.74)","65% (N/A)"
"1319","TWINKLE STAR SPRITES","7,516 ±2,684","13,954 ±3,714","6,438","85.66%","$7.99","0% ($7.99)","88% (N/A)"
"802","Carmageddon: Reincarnation","97,709 ±9,676","104,138 ±10,146","6,429","6.58%","$29.99","0% ($29.99)","76% (54%)"
"718","Deponia: The Complete Journey","130,529 ±11,183","136,956 ±11,634","6,427","4.92%","$39.99","85% ($5.99)","88% (N/A)"
"1327","Check vs. Mate","6,764 ±2,546","13,178 ±3,609","6,414","94.83%","$19.99","0% ($19.99)","56% (69%)"
"1259","Pajama Sam 4: Life Is Rough When You Lose Your Stuff!","14,781 ±3,764","21,189 ±4,577","6,408","43.35%","$6.99","60% ($2.79)","36% (N/A)"
"1047","Fragmented","47,601 ±6,754","54,007 ±7,307","6,406","13.46%","$9.99","50% ($9.99)","60% (N/A)"
"459","Turbo Dismount","318,932 ±17,476","325,335 ±17,927","6,403","2.01%","$9.99","60% ($3.99)","93% (N/A)"
"918","Halo: Spartan Strike","71,903 ±8,301","78,297 ±8,798","6,394","8.89%","$2.99","50% ($1.49)","81% (N/A)"
"1200","Last Days of Spring Visual Novel","22,047 ±4,597","28,424 ±5,301","6,377","28.92%","$2.99","50% ($1.49)","58% (N/A)"
"870","Earth 2140 HD","79,169 ±8,710","85,533 ±9,195","6,364","8.04%","$4.99","87% ($0.64)","53% (N/A)"
"922","Bermuda","70,901 ±8,243","77,264 ±8,739","6,363","8.97%","$2.99","0% ($2.99)","64% (N/A)"
"1270","Freddi Fish 5: The Case of the Creature of Coral Cove","13,278 ±3,567","19,639 ±4,406","6,361","47.91%","$6.99","60% ($2.79)","92% (N/A)"
"761","Runaway: A Road Adventure","111,739 ±10,347","118,092 ±10,804","6,353","5.69%","$9.99","75% ($2.49)","73% (74%)"
"155","Hitman 2: Silent Assassin","1,238,400 ±34,387","1,244,751 ±35,015","6,351","0.51%","$6.99","75% ($1.74)","89% (87%)"
"813","Real Boxing","95,203 ±9,551","101,554 ±10,019","6,351","6.67%","$4.99","80% ($0.99)","64% (N/A)"
"1057","Sacrifice","45,848 ±6,629","52,198 ±7,183","6,350","13.85%","$9.99","50% ($4.99)","92% (89%)"
"1276","Garfield Kart","12,777 ±3,499","19,122 ±4,348","6,345","49.66%","$4.99","60% ($1.99)","79% (N/A)"
"1059","Convoy","45,597 ±6,610","51,940 ±7,166","6,343","13.91%","$14.99","66% ($5.09)","82% (72%)"
"553","The Legend of Korra","218,216 ±14,458","224,556 ±14,896","6,340","2.91%","$14.99","50% ($7.49)","83% (N/A)"
"310","METAL GEAR RISING: REVENGEANCE","579,991 ±23,557","586,327 ±24,056","6,336","1.09%","$29.99","75% ($7.49)","92% (83%)"
"1213","The Fruit of Grisaia","20,543 ±4,437","26,874 ±5,154","6,331","30.82%","$39.99","50% ($19.99)","95% (N/A)"
"615","DYNASTY WARRIORS 8: Xtreme Legends Complete Edition","176,377 ±12,999","182,694 ±13,437","6,317","3.58%","$49.99","60% ($19.99)","81% (71%)"
"881","Crusader Kings Complete","77,666 ±8,627","83,982 ±9,111","6,316","8.13%","$9.99","75% ($2.49)","63% (73%)"
"789","RONIN","102,218 ±9,897","108,531 ±10,357","6,313","6.18%","$12.99","60% ($5.19)","75% (70%)"
"766","Trials 2: Second Edition","110,235 ±10,277","116,542 ±10,733","6,307","5.72%","$9.99","0% ($9.99)","84% (N/A)"
"1221","Hero Quest: Tower Conflict","19,792 ±4,355","26,099 ±5,079","6,307","31.87%","$0.99","51% ($0.49)","27% (N/A)"
"1023","Tompi Jones","52,362 ±7,084","58,658 ±7,615","6,296","12.02%","$3.99","50% ($1.99)","16% (N/A)"
"1232","20XX","18,289 ±4,187","24,548 ±4,926","6,259","34.22%","$14.99","25% ($8.99)","95% (N/A)"
"1366","Power of Love","1,753 ±1,296","8,010 ±2,814","6,257","356.93%","$4.99","80% ($0.99)","76% (N/A)"
"848","Still Life 2","83,929 ±8,968","90,184 ±9,442","6,255","7.45%","$14.99","75% ($1.99)","47% (67%)"
"849","A Boy and His Blob","83,929 ±8,968","90,184 ±9,442","6,255","7.45%","$9.99","75% ($2.49)","84% (N/A)"
"345","The Secret of Monkey Island: Special Edition","495,059 ±21,767","501,311 ±22,247","6,252","1.26%","$9.99","75% ($2.49)","95% (86%)"
"934","Etherium","67,394 ±8,036","73,646 ±8,532","6,252","9.28%","$19.99","80% ($3.99)","40% (62%)"
"302","Giana Sisters: Twisted Dreams","593,269 ±23,825","599,506 ±24,325","6,237","1.05%","$14.99","80% ($2.99)","83% (77%)"
"904","Epic Battle Fantasy 4","74,659 ±8,458","80,881 ±8,942","6,222","8.33%","$11.99","75% ($2.99)","97% (N/A)"
"1247","Pajama Sam's Lost & Found","17,036 ±4,041","23,256 ±4,795","6,220","36.51%","$4.99","80% ($0.99)","81% (N/A)"
"332","DOOM 3: BFG Edition","518,609 ±22,278","524,826 ±22,762","6,217","1.2%","$19.99","50% ($9.99)","81% (N/A)"
"1178","Typer Shark! Deluxe","24,803 ±4,875","31,008 ±5,537","6,205","25.02%","$4.99","75% ($1.24)","88% (N/A)"
"1317","Raiden IV: OverKill","8,267 ±2,815","14,470 ±3,782","6,203","75.03%","$14.99","75% ($3.74)","89% (N/A)"
"1376","Yellow: The Yellow Artifact","0 ±0","6,201 ±2,476","6,201","0%","$0.99","20% ($1.51)","26% (N/A)"
"1255","The Bluecoats: North vs South","16,284 ±3,950","22,481 ±4,714","6,197","38.06%","$4.99","60% ($1.99)","44% (N/A)"
"599","Skulls of the Shogun","188,403 ±13,434","194,581 ±13,867","6,178","3.28%","$9.99","80% ($1.99)","90% (72%)"
"1182","Dex","23,800 ±4,776","29,975 ±5,444","6,175","25.95%","$19.99","75% ($4.99)","84% (62%)"
"1140","Hatoful Boyfriend: Holiday Star","31,818 ±5,522","37,985 ±6,128","6,167","19.38%","$9.99","75% ($2.49)","95% (54%)"
"1043","LEGO Pirates of the Caribbean The Video Game","48,102 ±6,790","54,265 ±7,324","6,163","12.81%","$19.99","75% ($4.99)","76% (N/A)"
"1188","Obscure 2","23,299 ±4,725","29,458 ±5,397","6,159","26.43%","$9.99","0% ($9.99)","82% (59%)"
"956","Take On Mars","64,387 ±7,855","70,545 ±8,351","6,158","9.56%","$21.99","30% ($15.39)","66% (N/A)"
"1333","Neon Space","6,513 ±2,498","12,661 ±3,538","6,148","94.4%","$0.99","51% ($0.49)","88% (N/A)"
"1095","Autumn","39,334 ±6,140","45,479 ±6,705","6,145","15.62%","$2.99","50% ($1.49)","50% (N/A)"
"491","NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution","277,594 ±16,305","283,732 ±16,742","6,138","2.21%","$29.99","75% ($7.49)","78% (61%)"
"1196","Arkhelom 3D","22,548 ±4,649","28,683 ±5,325","6,135","27.21%","$3.99","50% ($1.99)","40% (N/A)"
"560","HITMAN","211,703 ±14,241","217,837 ±14,671","6,134","2.9%","$14.99","0% ($14.99)","58% (N/A)"
"1206","Necronomicon: The Dawning of Darkness","21,796 ±4,570","27,908 ±5,253","6,112","28.04%","$4.99","60% ($1.99)","32% (N/A)"
"1344","Moustache Mountain","5,261 ±2,245","11,369 ±3,353","6,108","116.1%","$1.99","50% ($0.99)","71% (N/A)"
"1148","Rhiannon: Curse of the Four Branches","29,563 ±5,323","35,660 ±5,937","6,097","20.62%","$5.99","80% ($1.19)","73% (67%)"
"1152","Lost Civilization","29,062 ±5,277","35,143 ±5,894","6,081","20.92%","$4.99","80% ($0.99)","54% (N/A)"
"1154","Bejeweled Deluxe","29,062 ±5,277","35,143 ±5,894","6,081","20.92%","$4.99","75% ($1.24)","83% (N/A)"
"1220","For The Glory","20,293 ±4,410","26,357 ±5,105","6,064","29.88%","$9.99","75% ($2.49)","78% (N/A)"
"1356","Jackal","3,758 ±1,898","9,819 ±3,116","6,061","161.28%","$2.99","0% ($2.99)","17% (N/A)"
"1358","The Note","3,256 ±1,766","9,302 ±3,032","6,046","185.69%","$5.99","60% ($2.39)","32% (N/A)"
"156","Dead Space 2","1,220,361 ±34,136","1,226,404 ±34,757","6,043","0.5%","$19.99","75% ($4.99)","94% (87%)"
"1164","Woody Two-Legs Attack of the Zombie Pirates","27,809 ±5,162","33,851 ±5,785","6,042","21.73%","$4.99","0% ($4.99)","57% (N/A)"
"741","Fieldrunners 2","118,253 ±10,645","124,294 ±11,084","6,041","5.11%","$9.99","75% ($2.49)","86% (73%)"
"1361","OddPlanet","3,006 ±1,697","9,044 ±2,990","6,038","200.86%","$6.99","0% ($6.99)","88% (N/A)"
"1075","BIT.TRIP FATE","44,094 ±6,501","50,131 ±7,040","6,037","13.69%","$9.99","90% ($0.99)","64% (74%)"
"1079","The District","43,843 ±6,482","49,872 ±7,022","6,029","13.75%","$0.99","75% ($0.49)","23% (N/A)"
"1305","Warhammer 40,000: Deathwatch - Enhanced Edition","10,522 ±3,175","16,538 ±4,043","6,016","57.18%","$14.99","80% ($4.99)","61% (74%)"
"531","Bridge Constructor","240,765 ±15,186","246,779 ±15,615","6,014","2.5%","$9.99","55% ($4.49)","77% (N/A)"
"1308","Tasty Blue","10,271 ±3,137","16,279 ±4,012","6,008","58.49%","$5.99","0% ($5.99)","90% (N/A)"
"936","Axis Football 2015","67,644 ±8,051","73,646 ±8,532","6,002","8.87%","$14.99","25% ($11.24)","75% (N/A)"
"1237","Pathologic Classic HD","18,289 ±4,187","24,290 ±4,900","6,001","32.81%","$12.99","50% ($6.49)","90% (76%)"
"853","Quest of Dungeons","83,929 ±8,968","89,926 ±9,428","5,997","7.15%","$4.99","45% ($2.74)","78% (N/A)"
"505","Unreal Gold","264,816 ±15,926","270,811 ±16,357","5,995","2.26%","$9.99","80% ($1.99)","95% (N/A)"
"1369","Battle Dome","1,503 ±1,200","7,493 ±2,722","5,990","398.54%","$14.99","10% ($13.49)","94% (N/A)"
"899","XIII Century","75,411 ±8,501","81,398 ±8,970","5,987","7.94%","$6.99","75% ($1.74)","50% (N/A)"
"902","Half Minute Hero: The Second Coming","75,160 ±8,487","81,140 ±8,956","5,980","7.96%","$9.99","75% ($2.49)","95% (79%)"
"365","Shadowgrounds: Survivor","460,986 ±21,006","466,943 ±21,472","5,957","1.29%","$9.99","90% ($0.99)","60% (79%)"
"410","Tower Wars","386,827 ±19,244","392,780 ±19,695","5,953","1.54%","$7.99","75% ($1.99)","74% (59%)"
"798","Crysis 2","98,711 ±9,726","104,655 ±10,171","5,944","6.02%","$29.99","75% ($7.49)","81% (N/A)"
"1258","SPY Fox 3: Operation Ozone","16,034 ±3,920","21,964 ±4,660","5,930","36.98%","$6.99","60% ($2.79)","85% (N/A)"
"1041","Locked-in syndrome","48,854 ±6,842","54,782 ±7,359","5,928","12.13%","$2.99","40% ($1.79)","33% (N/A)"
"828","DarkStar One","89,942 ±9,284","95,869 ±9,735","5,927","6.59%","$9.99","85% ($1.49)","80% (71%)"
"1003","Clockwork Tales: Of Glass and Ink","56,871 ±7,382","62,793 ±7,879","5,922","10.41%","$9.99","60% ($3.99)","90% (N/A)"
"629","Draw a Stickman: EPIC","171,617 ±12,822","177,526 ±13,245","5,909","3.44%","$3.99","0% ($3.99)","78% (N/A)"
"1192","Amazing Adventures Around the World","23,299 ±4,725","29,200 ±5,373","5,901","25.33%","$4.99","75% ($1.24)","80% (N/A)"
"1193","Clutch","23,299 ±4,725","29,200 ±5,373","5,901","25.33%","$9.99","25% ($7.49)","64% (51%)"
"1331","Robin's Quest","6,764 ±2,546","12,661 ±3,538","5,897","87.18%","$4.99","85% ($0.74)","85% (N/A)"
"1194","Mystery PI: The Vegas Heist","23,049 ±4,700","28,941 ±5,349","5,892","25.56%","$4.99","75% ($1.24)","70% (N/A)"
"1335","Trainz Trouble","6,513 ±2,498","12,403 ±3,502","5,890","90.43%","$4.99","80% ($0.99)","89% (N/A)"
"1198","The Graveyard","22,798 ±4,674","28,683 ±5,325","5,885","25.81%","$4.99","50% ($2.49)","63% (N/A)"
"697","FINAL FANTASY TYPE-0â„¢ HD","137,794 ±11,490","143,674 ±11,916","5,880","4.27%","$29.99","50% ($14.99)","59% (69%)"
"1100","Roommates","39,083 ±6,120","44,963 ±6,667","5,880","15.04%","$24.99","50% ($12.49)","79% (N/A)"
"1341","Assassinâ€™s CreedÂ® Chronicles: Russia","6,012 ±2,400","11,886 ±3,428","5,874","97.7%","$9.99","33% ($6.69)","69% (N/A)"
"1102","Black Mirror II","38,833 ±6,100","44,704 ±6,648","5,871","15.12%","$9.99","75% ($2.49)","88% (71%)"
"634","Ridge Racer Unbounded","170,364 ±12,776","176,234 ±13,197","5,870","3.45%","$9.99","75% ($2.49)","58% (72%)"
"1204","SAMURAI WARRIORS 4-II","22,297 ±4,623","28,166 ±5,277","5,869","26.32%","$49.99","50% ($24.99)","79% (N/A)"
"610","Journey To The Center Of The Earth","178,381 ±13,072","184,244 ±13,493","5,863","3.29%","$3.99","0% ($3.99)","60% (65%)"
"673","War for the Overworld","145,310 ±11,799","151,168 ±12,223","5,858","4.03%","$29.99","57% ($12.89)","77% (65%)"
"1345","No Pineapple Left Behind","5,511 ±2,298","11,369 ±3,353","5,858","106.3%","$9.99","25% ($7.49)","71% (59%)"
"1112","Chernobyl Commando","38,081 ±6,041","43,929 ±6,590","5,848","15.36%","$9.99","90% ($0.99)","22% (N/A)"
"1277","Block'hood","13,278 ±3,567","19,122 ±4,348","5,844","44.01%","$9.99","20% ($7.99)","81% (N/A)"
"1278","Mystery Masters: Psycho Train Deluxe Edition","13,278 ±3,567","19,122 ±4,348","5,844","44.01%","$9.99","50% ($4.99)","71% (N/A)"
"1348","Battle Mages: Sign of Darkness","4,509 ±2,079","10,336 ±3,197","5,827","129.23%","$4.99","90% ($0.49)","82% (N/A)"
"1290","Era: The Fantasy Settlement Sim","12,526 ±3,465","18,346 ±4,259","5,820","46.46%","$5.99","0% ($5.99)","60% (N/A)"
"1352","Dungeon Journey","4,259 ±2,020","10,077 ±3,156","5,818","136.6%","$1.99","70% ($0.59)","83% (N/A)"
"1294","Submerged","12,025 ±3,395","17,830 ±4,198","5,805","48.27%","$19.99","66% ($6.79)","79% (N/A)"
"1069","Storm in a Teacup","44,845 ±6,556","50,647 ±7,076","5,802","12.94%","$4.99","0% ($4.99)","71% (N/A)"
"1296","Freddi Fish and Luther's Water Worries","11,775 ±3,359","17,571 ±4,168","5,796","49.22%","$4.99","60% ($1.99)","75% (N/A)"
"1362","The Last Door: Season 2 - Collector's Edition","3,256 ±1,766","9,044 ±2,990","5,788","177.76%","$9.99","60% ($3.99)","97% (N/A)"
"1123","Tiamat X","35,826 ±5,860","41,603 ±6,413","5,777","16.13%","$1.99","75% ($0.49)","39% (N/A)"
"1227","Putrefaction","19,040 ±4,272","24,807 ±4,952","5,767","30.29%","$4.99","90% ($0.49)","66% (N/A)"
"824","Darkout","91,946 ±9,387","97,678 ±9,826","5,732","6.23%","$14.99","75% ($3.74)","56% (55%)"
"1129","Dracula 2: The Last Sanctuary","34,323 ±5,735","40,053 ±6,293","5,730","16.69%","$4.99","60% ($1.99)","21% (68%)"
"1173","Anna's Quest","26,055 ±4,997","31,784 ±5,605","5,729","21.99%","$19.99","60% ($7.99)","92% (74%)"
"942","SuperPower 2 Steam Edition","67,143 ±8,021","72,871 ±8,487","5,728","8.53%","$9.99","75% ($2.49)","78% (N/A)"
"407","Proteus","387,829 ±19,269","393,555 ±19,715","5,726","1.48%","$9.99","66% ($3.39)","73% (80%)"
"550","IL-2 Sturmovik: 1946","223,227 ±14,623","228,949 ±15,041","5,722","2.56%","$9.99","75% ($2.49)","91% (86%)"
"1245","Siralim","17,537 ±4,100","23,256 ±4,795","5,719","32.61%","$9.99","75% ($2.49)","93% (N/A)"
